Client ID,Active customers
CID310085,ENERGIZED FOR STEM ACADEMY
CID310086,Episcopal High School
CID310088,Evadale ISD
CID310089,Exxon Mobile
CID310090,First Baptist Academy
CID310091,Fort Bend Baptist Academy
CID310092,Fort Bend Christian Academy
CID310093,Fort Bend ISD
CID310094,Fort Worth ISD
CID310095,Friendswood ISD
CID310096,Galena Park ISD
CID310097,Galveston County
CID310098,Galveston ISD
CID310099,Garland ISD
CID310100,Gastar Exploration Texas L.P.
CID310101,Grand Prairie ISD
CID310103,Harlandale ISD
CID310104,Harlingen CISD
CID310105,Harmony ISD
CID310106,Harris County Department of Education
CID310107,Harris County Hospital District
CID310108,Harris County Toll Road Authority
CID310110,Hidalgo ISD
CID310111,High Island School District
CID310114,Houston Community College - HCCS
CID310115,Houston Energy
CID310116,Houston First Corporation
CID310117,Houston Orthopedic Surgical Hospital
CID310118,Houston ISD
CID310119,HPM LLC
CID310120,Humble ISD
CID310121,Huntsville ISD
CID310122,Igloo Products Corp
CID310123,Incarnate Word Academy
CID310124,Inspired for Excellence Academy
CID310125,Invesco (Hyderabad) Pvt. Ltd.
CID310126,Invesco Canada Ltd.
CID310127,INVESCO CONTINENTIAL EUROPE SERVICE
CID310128,INVESCO Hong Kong LIMITED
CID310129,Invesco Luxemboug
CID310130,INVESCO UK LIMITED
CID310131,Invesco US
CID310132,Irving ISD
CID310133,John Cooper School
CID310134,John Paul II High school
CID310135,Judson ISD
CID310136,Katy ISD
CID310137,Keene ISD
CID310138,Killeen ISD
CID310139,Kipp Houston Public Schools
CID310140,Klein ISD
CID310141,La Joya ISD
CID310142,La Porte ISD
CID310143,Lamar Consolidated ISD
CID310144,Lamar State College - Orange
CID310145,Lamar State College - Port Arthur
CID310146,Lamar University
CID310147,Lancaster ISD
CID310148,Laredo Community College
CID310149,LAREDO ISD
CID310150,Lee College
CID310151,Lewisville ISD
CID310152,Lime Rock Management LP
CID310153,Little Cypress Mauriceville CISD
CID310154,Livingston ISD
CID310155,Lumberton ISD
CID310158,Manor ISD
CID310159,McAllen ISD
CID310160,McDade ISD
CID310161,McKinney ISD
CID310162,Melissa ISD
CID310163,Mercedes ISD
CID310164,Mesquite ISD
CID310165,Messiah Lutheran Church & School
CID310166,Houston METRO
CID310167,Metro Transit  Authority
CID310168,Midwestern State University
CID310169,Mount Sacred Heart School
CID310170,Neighborhood Centers Inc.
CID310171,Neuhaus Education Center
CID310172,New Waverly ISD
CID310173,Nixon Peabody LLP
CID310174,North Central Texas Council of Governments
CID310175,North Texas Tollway Authority
CID310176,North East ISD
CID310177,Northside ISD
CID310178,Office of the Attorney General
CID310179,Office of the Secretary of State
CID310180,Orange County - Texas
CID310181,Paetec Communications Inc.
CID310182,Parkland Health & Hospital System
CID310183,Pasadena ISD
CID310184,Pepper-Lawson Construction
CID310185,Performance Computer Group
CID310186,Pharr-San Juan-Alamo ISD
CID310187,Plano ISD
CID310189,Port Arthur ISD
CID310190,Port Neches-Groves ISD
CID310191,Port of Houston Authority
CID310192,Munich Re Trading LLC
CID310193,Region 7 ESC Purchasing
CID310194,Region 6 Education Service Center
CID310195,Richardson ISD
CID310196,Salado ISD
CID310197,Salem Lutheran Ministries
CID310198,Sam Houston State University
CID310199,San Angelo ISD
CID310200,San Antonio ISD
CID310201,San Antonio Water System
CID310202,San Jacinto River Authority
CID310203,Schertz-Cibolo-Universal City ISD
CID310204,Sealy ISD
CID310205,Second Baptist School
CID310206,"Siemens Industry, Inc."
CID310207,Socorro ISD
CID310208,South San Antonio ISD
CID310209,South Texas College
CID310210,Southside ISD
CID310211,Southwest ISD
CID310212,Splendora ISD
CID310214,Spring Branch ISD
CID310215,St. Agnes Academy
CID310216,St. Mark Lutheran School
CID310217,St. Pius X High School
CID310218,St. Thomas High School
CID310219,St. Vincent de Paul Catholic School
CID310220,Stafford MSD
CID310221,Sunoco Logistics Partners LP
CID310222,TAGIT LLC
CID310223,TAMU-Texas Engineering Experiment Station
CID310225,Tarrant County College District
CID310226,Telepro Communications
CID310227,Temple ISD
CID310228,Terrell ISD
CID310229,Texarkana College
CID310230,Texas A&M Health Science Center
CID310231,Texas A&M University
CID310233,Texas A&M University - Kingsville
CID310234,Texas A&M University - Central Texas
CID310235,Texas A&M Agrilife Extension
CID310236,Texas A&M AgriLife Information Technology
CID310237,Texas A&M AgriLife Research Dallas
CID310238,Texas A&M International University
CID310239,Texas A&M University - Commerce
CID310240,Texas A&M University - Corpus Christi
CID310242,Texas Animal Health Commission
CID310243,Texas City ISD
CID310244,Texas Commission on Environmental Quality
CID310245,Texas Department of Banking
CID310246,Texas Department of Criminal Justice
CID310247,Texas Department of Housing and Community
CID310248,Texas Department of Insurance
CID310249,Texas Department of Motor Vehicles
CID310250,Texas Department of Public Safety
CID310251,Texas Department of Transportation
CID310252,Texas Facilities Commission
CID310253,Texas Health and Human Services
CID310254,Texas Historical Commission
CID310255,Texas Pension Review Board
CID310256,Texas Southern University
CID310257,Texas State Library
CID310258,Texas State Securities Board
CID310259,Texas State Technical College Harlingen
CID310260,Texas State University
CID310261,Texas Transportation Institute
CID310262,Texas Veterans Commission
CID310263,Texas Woman's University - TWU
CID310264,The Colony CCTV Network
CID310265,The Pro-Vision Charter School
CID310267,The Tenney School
CID310268,TMC - Teaching and Mentoring Communities
CID310269,Tomball ISD
CID310270,Travis County
CID310271,Trinity Christian Academy
CID310272,Truth Chemical
CID310273,United ISD
CID310274,Universal Fidelity LP
CID310275,University of Houston
CID310276,University of North Texas Health Science Center
CID310277,University of Texas - Arlington
CID310279,University of Texas - Austin Applied Research Lab
CID310280,University of Texas - Austin Charter School
CID310282,University of Texas Rio Grande Valley
CID310284,University of Texas - San Antonio
CID310285,UNT Health Science Center
CID310286,UT Southwestern Medical Center
CID310287,Victoria ISD
CID310288,"Video Insight, Inc."
CID310289,Vidor ISD
CID310290,Waco ISD
CID310291,Wailua Technology
CID310292,Warren ISD
CID310293,Weslaco ISD
CID310294,West Texas A&M University
CID310295,WHITEHAT VIRTUAL TECHNOLOGIES
CID310296,Wichita Falls ISD
CID310297,Woodlands Preparatory School
CID310298,YES Prep Public Schools
CID310398,Academy ISD
CID310399,ACCELERATED INTERMEDIATE ACADEMY # 1 ELEMENTARY
CID310400,ACE Academy
CID310401,Ace Hardware Corporation
CID310402,Aegis Mortgage Corporation
CID310404,AIG Global Services
CID310405,Air Force Federal Credit Union
CID310406,Alcon
CID310407,Aldine ISD
CID310408,Alice ISD
CID310409,Allen ISD
CID310410,Allied Alloys
CID310411,Alloy and Stainless Fastners
CID310412,Alvin ISD
CID310413,AMD (Advance Micro Devices)
CID310414,American Airlines Center
CID310415,American College of Acupuncture and Oriental
CID310416,American Heart Association
CID310417,AMF NETWORK SOLUTIONS
CID310418,Anahauc ISD
CID310419,Andrews County
CID310420,Angelina County
CID310421,Angleton ISD
CID310422,Anna ISD
CID310423,ARAMARK - Houston ISD
CID310424,Aramco Services
CID310425,ATW MGMT Inc
CID310426,AUSTIN-TRAVIS COUNTY MENTAL HEALTH AND MENTAL
CID310427,Avant Datacomm Solutions Inc
CID310428,Aviation Equipment Service
CID310429,Azteca Milling
CID310430,Baker Engineering and Risk Consultants
CID310431,Baker Hughes
CID310432,Barbara Bush Houston Literacy Foundation
CID310433,"Bartlett Cocke, L.P."
CID310434,Bay Area Christian School
CID310435,Baylor College of Medicine - Dallas
CID310436,Baylor University
CID310437,"Baylor, Scott and White"
CID310438,BBVA Bank
CID310439,Beal Bank
CID310440,Belton ISD
CID310441,Ben Taub
CID310442,BHP Billiton Petroleum
CID310443,Big Saver Foods
CID310444,Billiard Factory
CID310445,Birdville ISD
CID310446,Blinn College
CID310447,"BMC Software, Inc."
CID310448,Board of Law Examiners
CID310449,Bowie ISD
CID310450,BP
CID310451,Brackett ISD
CID310452,Brake Check
CID310453,BrandElixir Communications
CID310454,Brazosport College
CID310455,Brewster County
CID310456,"BRINKER INTERNATIONAL, INC."
CID310457,British Gas
CID310458,Brownsville Public Library
CID310459,Burkeville ISD
CID310460,Calallen ISD
CID310461,Canutillo ISD
CID310462,Capital Metro
CID310463,Capital Trading Corporation
CID310464,Carroll ISD
CID310465,Cash America
CID310466,Casino Tech LLC
CID310467,Central Health
CID310468,Central ISD
CID310469,Central National Bank
CID310470,Cggveritas
CID310471,Channelview ISD
CID310472,CHI St. Luke's Health
CID310473,Christian Brothers Automotive
CID310474,Cirrus Logic Inc.
CID310475,City of Addison
CID310476,City of Arlington
CID310477,City of Austin - Aviation Dept
CID310478,City of Bellaire
CID310479,City of Big Spring
CID310480,City of Brownsville
CID310481,City of College Station
CID310482,City of Colony
CID310483,City of Dallas
CID310484,City of Edinburg
CID310485,City of Euless
CID310486,City of Fort Worth (TX)
CID310487,City of Frisco
CID310488,City of Garland
CID310489,City of Harlingen
CID310490,City of Hidalgo
CID310491,City of Houston Airport System
CID310492,City of Houston Courts
CID310493,City of Houston Emergency Center
CID310494,City of Lewisville
CID310495,City of Irving
CID310496,City of Midland
CID310497,City of Missouri City
CID310498,City of Odessa
CID310499,City of Pearland
CID310500,City of Plano
CID310501,City of Rowlett
CID310502,City of San Antonio
CID310503,City of Sugar Land
CID310504,City of Victoria
CID310505,City of Weslaco
CID310506,Civil Engineering Consultants
CID310507,Clear Channel / iHeartMedia
CID310508,Clear Creek ISD
CID310509,Cleburne ISD
CID310510,Cleveland ISD
CID310511,Clint ISD
CID310512,Collin Central Appraisal District
CID310513,Collin County Community College District
CID310514,Comfort Public Library
CID310515,Commercial Wireless Solutions
CID310516,Commission on State Emergency Communications
CID310517,"Community Health Choice, Inc."
CID310518,Comptroller of Public Accounts
CID310519,COMSYS
CID310520,Congregation Beth Israel & The Shlenker School
CID310521,CONSOLIDATED GRAPHICS INC.
CID310522,Content Keeper
CID310523,Cook Children's Health Care System
CID310524,Coppell ISD
CID310525,Copperas Cove ISD
CID310526,Credit Union Department State of Texas
CID310527,Culture Pilot
CID310528,Dallas Area Rapid Transit 
CID310529,Dallas Baptist University
CID310530,Dallas Childrens Hospital
CID310531,CVAD
CID310532,Dallas City Hall
CID310533,DALLAS STARS HOCKEY CLUB
CID310534,Data Stream Technologies
CID310535,Dave and Busters
CID310536,DBS Solutions
CID310537,Dean Foods
CID310538,Deer Park RV
CID310539,Department of Information Resources
CID310540,Dept of Family and Protective Services
CID310541,Desoto ISD
CID310542,Devereux
CID310543,Devereux Texas Treatment Network
CID310544,"Dex Media, Inc."
CID310545,DHI Telecom
CID310546,"Diabetes America, Inc"
CID310548,Digitel Corporation
CID310549,Diocese of Victoria  
CID310550,Direct Energy
CID310551,DISCOVERY GREEN
CID310552,Doctors Hospital of Laredo
CID310553,Duncanville ISD
CID310554,EAGLE NATIONAL BANK
CID310555,"Eagle Rock Energy Partners, LP"
CID310556,EANES ISD
CID310557,Early I. S. D.
CID310558,Ector County ISD
CID310559,Edgewood ISD
CID310560,ACE CASH EXPRESS INC
CID310561,ACME Brick
CID310562,Aker Solutions
CID310563,Alcotra Inc
CID310564,American Bureau of Shipping
CID310565,American Consolidated Media
CID310566,Andrews ISD
CID310567,Apache Corporation
CID310568,Applied Materials
CID310569,Aristoi Classical Academy  
CID310570,ARTCOM ASSOCIATES INC.
CID310571,Associates for Applied Psychology
CID310572,Atento
CID310574,Attorney General of Texas
CID310575,Baker Botts
CID310576,Balboa Capital
CID310577,Baylor College of Medicine - Houston
CID310578,Bechtel Corporation
CID310579,Big Spring ISD
CID310580,"BL TECHNOLOGY, INC."
CID310582,Brownsville Community Health Center
CID310583,"Byrne/Ridgemont, A Join Venture"
CID310584,Cameron County
CID310585,Cameron International
CID310586,"Career Group, Inc"
CID310587,Carrollton-Farmers Branch ISD
CID310588,CB&I
CID310589,Centerville ISD
CID310590,Chillicothe ISD
CID310591,"Cisco Systems, Inc."
CID310592,Citgo Petroleum
CID310593,City of Coppell
CID310594,City of Corpus Christi
CID310595,City of Denton
CID310596,City of Grand Prairie
CID310597,City of Houston Library
CID310598,CITY OF SAN MARCOS
CID310599,City of Weatherford - Texas
CID310600,Brazoria County
CID310601,County of Brazos
CID310602,Court of Criminal Appeals
CID310603,Cyber Tax
CID310604,Cy-Fair College - NHMCCD
CID310605,CyrusOne
CID310606,Dallas County of Texas
CID310607,Dallas County Schools
CID310608,Dayton ISD
CID310609,Decatur ISD
CID310610,Deer Park ISD
CID310611,Del Valle ISD
CID310612,Denison ISD
CID310613,Denton County of Texas
CID310614,Diamond Offshore Company
CID310615,Doctors Hospital at Renaissance
CID310616,Doretel Communications Inc
CID310617,Dr Pepper and Snapple Group
CID310618,Draw Academy
CID310619,Dresser-Rand
CID310620,Driscoll Children's Hospital
CID310621,DYONYX
CID310622,Eagle Mountain Saginaw ISD
CID310623,Eagle Nation Bank
CID310624,EAST TEXAS MEDICAL CENTER
CID310625,Region 15 Education Service Center
CID310626,El Paso Community College
CID310627,El Paso Water Utilities
CID310628,Electric Reliability Council of Texas Inc (ERCOT)
CID310629,Elite Marketing
CID310630,Ellington Field
CID310631,Empyrean Benefits Solutions
CID310632,Encon Safety Products
CID310633,ENERGY TRANSFER GROUP
CID310634,Ennis ISD
CID310635,EPD Asia Group
CID310636,Etoile ISD
CID310637,Explorer Services Inc.
CID310638,"EZCORP, INC."
CID310639,Falcon Gas Storage
CID310640,Falcon International Bank
CID310641,Farouk Systems
CID310642,"Fay School, The"
CID310643,Fayetteville ISD
CID310644,First Choice
CID310645,First Christian Church (Disciples of Christ)
CID310646,Flexitallic LP
CID310647,FMC
CID310648,Fort Bend County
CID310649,Fortis TCS
CID310650,FORUM ENERGY TECHNOLOGIES
CID310651,Fossil
CID310652,Franklin ISD
CID310653,Franklin Transportation Services
CID310654,Freescale Semiconductor Inc
CID310655,Friendship ISD
CID310656,Frisco ISD
CID310657,Frost Bank
CID310658,FRY'S
CID310659,"Fugro USA, Inc."
CID310660,GameStop
CID310661,Ganado ISD
CID310662,"Gardline Comms, Inc. DBA GComm"
CID310663,GC Services
CID310664,"Gekko, Inc."
CID310665,General Dynamics Fidelis Cybersecurity Solutions
CID310666,Genesis BCS
CID310667,Genesis Networks
CID310668,Genesis RTS
CID310669,Gentry and Associates Electrical
CID310670,George I. Sanchez Charter School (223647)
CID310671,George I. Sanchez Charter School (88288)
CID310672,Gilbane Building Company
CID310673,Girls & Boys Preparatory Academy
CID310674,Glen Rose ISD
CID310675,Global Data Solutions
CID310676,Global Efficient Energy LLC
CID310677,Global Learning Village
CID310678,Gloria Dei Lutheran
CID310679,Goliad County Sheriffs office
CID310680,GOOD SHEPHERD MEDICAL CENTER
CID310681,Goose Creek CISD
CID310682,Granbury ISD
CID310683,Granger ISD
CID310684,Grapevine-Colleyville ISD
CID310685,Great Lakes Academy
CID310686,Greater Harris County 911 Emergency Network
CID310687,Greater Houston Convention and Visitors Bureau
CID310688,GRUMA Corp (Mission/Azteca Milling)
CID310689,GTECH Texas
CID310690,Gulf Coast Trades Center / Raven School
CID310691,Haas Group International
CID310692,HALLIBURTON COMPANY
CID310693,Hanger Orthopedic Group Inc
CID310695,Harris County - Texas
CID310696,Harris County Appraisal District
CID310697,Harris County Clerks Office
CID310698,Harris County Precinct 4
CID310699,Harris County Public Library
CID310700,Harris Health System
CID310701,"Harte-Hanks (SELECT MARKETING, INC)"
CID310702,Hays Consolidated ISD
CID310703,HCA Gulf Coast Division
CID310704,HCA Healthcare
CID310705,HCC Insurance Holdings
CID310706,Healix
CID310707,Hearne ISD
CID310708,HEB
CID310709,Helen of Troy
CID310710,Helix ESG
CID310711,Henderson ISD
CID310712,Hess Corporation
CID310713,"Hewlett-Packard, Inc."
CID310714,HP Financial Services
CID310715,HHSC - Region 02 Abilene
CID310716,HHSC Austin
CID310717,Hidalgo County Information Technology
CID310718,"High Oaks, A Northland Community"
CID310719,Highland Park ISD
CID310720,Hines Interest
CID310721,"HireGenics, Inc."
CID310722,"Hobark International, Inc."
CID310723,"HomeAway, Inc"
CID310724,Hope Academy
CID310725,Houston Fire Dept
CID310726,Houston Food Bank
CID310727,Houston Galveston Area Council
CID310728,Houston Hospice
CID310729,Houston Methodist
CID310730,Houston Supply & Manufacturing Co
CID310731,Howard College
CID310732,Howard County
CID310733,HPM & Associates LLC
CID310734,Hudson Advisors
CID310735,Hull Daisetta ISD
CID310736,Hurst Euless Bedford ISD
CID310737,Huston-Tillotson University
CID310738,HYDERABAD IT SUPPORT SERVICES PVT LTD
CID310739,Idea Public Schools
CID310740,IER-A Wolf Industries Company
CID310741,"ILS Technologies, LLC"
CID310742,Iman Academy
CID310743,Imperial Fire and Casualty Insurance
CID310744,Indus American Bank
CID310745,Ineos
CID310746,Infosim Inc
CID310747,"Innovative Engineering Systems, Inc."
CID310748,Innovative Litigation Services
CID310749,Inspired for Excellence
CID310750,Integrated Alliance LP
CID310751,Inter National Bank
CID310752,INTERTEK
CID310753,INVESCO ASSET MANAGEMENT AUSTRALIA
CID310754,Invesco Asset Management Deutschland GMBH
CID310755,Invesco Asset Management SA
CID310756,INVESCO GLOBAL ASSET MANAGEMENT LIMITED
CID310757,Invesco Japan
CID310758,IRION COUNTY ISD
CID310759,Irongate Energy Services
CID310760,Jacobs and Associates
CID310761,JC Penny
CID310762,Jefferson College
CID310763,John H Wood Junior Charter School
CID310764,Joshua ISD
CID310765,JP Morgan Chase & Co
CID310766,JPM Communications LLC
CID310767,JPS Health Network
CID310768,Kalypso
CID310769,Katy Lake RV Resort
CID310770,KBR
CID310771,Keais Records Service Inc.
CID310772,Keller ISD
CID310773,Kelsey-Seybold Clinics
CID310774,Kennard ISD
CID310775,Key Energy
CID310776,Kinder Morgan
CID310777,La Vega ISD
CID310778,Lake Dallas ISD
CID310779,Lake Worth ISD
CID310780,"Lakehills Consulting, L. P."
CID310781,Lakeway Regional Medical Center
CID310782,Lamar Institute of Technology
CID310783,Lamar University Foundation
CID310784,Landrys Restaurants
CID310785,Leam Drilling
CID310786,Leander ISD
CID310787,"Lenovo (United States), Inc."
CID310788,LHP HOSPITAL GROUP -need update tax exempt
CID310789,"Linebarger Goggan Blair & Sampson, LLP"
CID310790,Literacy Council of Fort Bend County
CID310791,Lone Star College System
CID310792,Loomis
CID310793,Los Fresnos CISD
CID310794,Louisiana State University Shreveport
CID310795,Lufkin ISD
CID310796,Lutheran Education Association
CID310797,Lutheran High North
CID310798,Lutheran South Academy
CID310799,Lyford CISD
CID310800,LyondellBasell
CID310801,M&R USA
CID310802,Maks Enterprises
CID310803,Mansfield ISD
CID310804,Marathon Oil Company
CID310805,Marble Falls ISD
CID310806,"Marco Gutierrez, MD & Associates"
CID310807,Marine One Acceptance Corp
CID310808,Marlin Administration
CID310809,Mary Kay
CID310810,Mattress Firm
CID310811,"McCall, Parkhurst & Horton L.L.P."
CID310812,McCoy Corporation
CID310813,McLennan Community College
CID310814,MedAssets
CID310815,Medicaid Finance and Consulting (HISD)
CID310816,MedReps
CID310817,Memorial City Mall
CID310818,Memorial Hermann Hospital
CID310819,Menswarehouse
CID310820,Meri Best Inn
CID310821,Messiah Lutheran Academy
CID310822,Methodist Health System
CID310823,Metrocare Services
CID310824,MHMR of Nueces County
CID310825,Michael DeBakey VA Medical Center
CID310826,Midland County
CID310827,Midland ISD
CID310828,Midlothian ISD
CID310829,MidSouth Synergy
CID310830,Mission CISD
CID310831,Modia
CID310832,Monahans-Wickett-Pyote ISD
CID310833,MONTE ALTO ISD
CID310834,Montgomery County
CID310835,Motor Coach Industries
CID310836,Murex Petroleum Corporation
CID310837,N2 Learning
CID310838,NABI Bus LLC
CID310839,National Instruments Corporation
CID310840,NATIONAL OILWELL VARCO
CID310841,Navasota ISD
CID310842,NCsoft Corporation (NC INTERACTIVE)
CID310843,Needville ISD
CID310844,"NEIMAN MARCUS GROUP INC,"
CID310845,NetInformant
CID310846,Netsync Network Solutions
CID310847,"Neutral Posture, Inc"
CID310848,New Beginnings Worldwide Outreach Ministries
CID310849,NEW BRAUNFELS ISD
CID310850,New Caney ISD
CID310851,NEWARK CORPORATION/NEWARK INONE
CID310852,Noble Drilling
CID310853,North Forest ISD
CID310854,Northwest ISD
CID310855,NRG Energy Group (Reliant)
CID310856,Nueces County
CID310857,Nueces County Appraisal District
CID310858,Nutech Asphalt
CID310859,OCEANEERING INTERNATIONAL INC
CID310860,Odessa College
CID310861,Odyssey Academy
CID310862,"Oil States Industries, Inc."
CID310863,OMK North America
CID310864,OneSource Building Technologies
CID310865,Orange County Drainage District
CID310866,Our Lady of the Cedars
CID310867,OUR LADY OF THE GULF CATH SCHOOL
CID310868,OXY PETROLEUM
CID310869,Palestine ISD
CID310870,Palmer ISD
CID310871,Paradigm
CID310872,Peak Completion Technologies Inc
CID310873,Pearland ISD
CID310874,Pecos County
CID310875,"PEMSA Parts & Supply, LLC."
CID310876,"PepsiCo, Inc"
CID310877,PETROBRAS USA
CID310878,"PetroChina International (America), Inc."
CID310879,Pflugerville ISD
CID310880,PIER ONE IMPORTS
CID310881,PKC Construction
CID310882,Plains All American Pipeline LP
CID310883,Pope John XXIII High School
CID310884,Port Arthur Housing Authority
CID310885,Powell Industries
CID310886,Prairie View A&M University
CID310887,Pro Vision
CID310888,Prosper ISD
CID310889,PS&Co. Padgett Stratemann
CID310890,"Pump It, Inc"
CID310891,"Quanta Services Management Partnership, LP"
CID310892,QuestVapco Corporation
CID310893,Quitman ISD
CID310894,Randall County
CID310895,Ranieri Partners  Management LLC
CID310896,"rateGenius, Inc."
CID310897,Reasoning Mind
CID310898,Reed Technologies
CID310899,Reeves County
CID310900,Refugio ISD
CID310901,Region 10 Education Service Center
CID310903,Region 14 Education Service Center
CID310904,Region 16 Education Service Center
CID310905,Region 20 Educational Service Center
CID310906,Region 3  Education Service Center
CID310907,Region 5 Education Service Center
CID310908,Region 9 Education Service Center
CID310909,Region 1 Education Service Center
CID310910,Regus Group
CID310911,RenRe Energy Advisor Ltd.
CID310912,RESPITE CARE OF SAN ANTONIO
CID310913,Responsive Education Solutions
CID310914,RGV College
CID310915,Rhoads Insurance Agency
CID310916,RICE UNIVERSITY
CID310917,Richland College
CID310918,"Rimkus Consulting Group, Inc"
CID310919,Rockwall ISD
CID310920,Round Rock ISD
CID310921,RPS Knowledge Reservoir
CID310922,Ryan
CID310923,Salco Solutions Group
CID310924,"SALLY BEAUTY COMPANY, INC"
CID310925,San Antonio Christian Schools
CID310926,San Antonio State Supported Living Center
CID310927,San Benito Consolidated ISD         
CID310928,San Diego ISD
CID310929,San Elizario ISD
CID310930,San Francisco Int'l. Airport
CID310931,San Jacinto College
CID310932,San Juan Diego Catholic High School
CID310933,Santa Cruz Catholic School
CID310934,Save Mart
CID310935,Scarsdale Imaging
CID310936,"Scheiner Law Group, P.C."
CID310937,Schlumberger
CID310938,"SCI Management, L.P."
CID310939,Scottish Rite
CID310940,Seguin ISD
CID310941,Selene LLC
CID310942,Seton Healthcare
CID310943,"SGV International, LLC."
CID310944,Sharyland ISD
CID310945,Sheldon ISD
CID310946,Shelton School
CID310947,Sherman ISD
CID310948,"Shlenker School, The"
CID310949,SignWarehouse
CID310950,Silicon Laboratories Inc
CID310951,Skidmore-Tynan ISD
CID310952,SLED Demo 2014
CID310953,SNI Technology
CID310954,"Sniperhill Internet Services, LLC"
CID310955,Sophos Inc
CID310956,SOTC Southern Oklahoma Tech College
CID310957,South & Western General Agency
CID310958,South Texas Blood & Tissue Center
CID310959,South Texas ISD
CID310960,Southern Folger
CID310961,Southwest Airlines
CID310962,SOUTHWESTERN ENERGY
CID310963,Specialty Prosthetics
CID310964,SPECTRA ENERGY CORP
CID310965,Spring ISD
CID310966,St Mary Catholic School
CID310967,St. Edwards
CID310968,St. Francis Episcopal Day School
CID310969,St. Mary's University
CID310970,Stanford Financial Group Receivership
CID310971,State Office of Administrative Hearings
CID310972,Stephen F. Austin State University
CID310973,Stephenville ISD
CID310974,"Stolt-Neilsen, Inc."
CID310975,SUEZ ENERGY NA
CID310976,SUN COAST RESOURCES INC
CID310977,Sunbelt Steel Texas
CID310978,Superior Energy
CID310979,Swift Energy Company
CID310980,"Syngas, Texas"
CID310983,"TanChes Global Management, Inc."
CID310984,Tarleton State University
CID310985,Tarrant Appraisal District
CID310986,Tarrant County Information Technology
CID310987,Tarrant County Auditors Office
CID310988,Tarrant County (TX)
CID310989,Taylor ISD
CID310990,Teacher Retirement System of Texas
CID310991,Technip
CID310992,Temple College
CID310993,Tersha Marketing
CID310994,Tesoro
CID310995,Tetra Technologies Inc
CID310996,Texas A&M Health Science Center - Corpus Christi
CID310997,Texas A&M Engineering Experiment Station (TEES)
CID310998,Texas A&M University - Department of Visualization
CID310999,Texas A&M University - Galveston
CID311000,Texas A&M University Computer Science Dept
CID311001,Texas A&M University TTI
CID311002,Texas A&M University TTVN
CID311003,Texas Agrilife Research
CID311004,Texas Board of Architectural Examiners
CID311005,Texas Capital Bank
CID311006,Texas Children's Hospital - VID#0000773548
CID311007,Texas Coalition Of Essential Schools
CID311008,Texas Comptroller of Public Accounts
CID311009,Texas Department of Family and Protective Services
CID311010,Texas Department of Rural Affairs
CID311012,Texas Dept of Transportation: San Angelo
CID311013,Texas DPS Crime Laboratory
CID311014,Texas Education Agency
CID311015,Texas Ethics Commision
CID311016,Texas Graduate Center
CID311017,Texas Guarantee Student Loan Corporation
CID311018,Texas Health Partners
CID311019,Texas Health Resources (THR)
CID311020,Texas Higher Education Coordinating Board
